Name,Origin,Alpha (%),Type
Admiral,UK,14.80%,Bittering
Ahtanum,US,6.00%,Aroma
Amarillo Gold,US,8.50%,Aroma
Aquila,US,6.50%,Aroma
Banner,US,10.00%,Bittering
Bramling Cross,UK,6.00%,Aroma
Brewers Gold,UK,8.00%,Bittering
Bullion,UK,8.00%,Bittering
Cascade,US,5.50%,Both
Centennial,US,10.00%,Bittering
Challenger,UK,7.50%,Aroma
Chinook,US,13.00%,Bittering
Cluster,US,7.00%,Bittering
Columbia,UK,5.50%,Bittering
Columbus(Tomahawk),US,14.00%,Bittering
Comet,US,9.50%,Bittering
Crystal,US,3.50%,Aroma
Eroica,US,13.00%,Bittering
First Gold,UK,7.50%,Both
Fuggles,UK,4.50%,Aroma
Galena,US,13.00%,Bittering
Glacier,US,5.60%,Aroma
"Goldings, B. C.",Canada,5.00%,Aroma
"Goldings, East Kent (EK)",UK,5.00%,Aroma
Green Bullet,New Zealand,13.50%,Bittering
Hallertauer,Germany,4.80%,Aroma
"Hallertauer,Hersbrucker",Germany,4.00%,Aroma
"Hallertauer,Mittelfrueh",Germany,4.00%,Aroma
"Hallertauer,New Zealand",New Zealand,8.50%,Both
Herald,UK,12.00%,Bittering
Horizon,US,12.00%,Bittering
Liberty,US,4.30%,Aroma
Lublin,Poland,5.00%,Bittering
Magnum,Germany,14.00%,Bittering
Mt. Hood,US,6.00%,Aroma
Northdown,UK,8.50%,Both
Northern Brewer,Germany,8.50%,Both
Nugget,US,13.00%,Bittering
Orion,Germany,7.30%,Both
Pacific Gem,New Zealand,15.00%,Bittering
Pearle,Germany,8.00%,Bittering
Phoenix,UK,8.00%,Bittering
Pilgrim,UK,11.50%,Bittering
Pioneer,UK,9.00%,Both
Pride of Ringwood,Australia,9.00%,Bittering
Progress,UK,6.30%,Aroma
Saaz,Czech Rep,4.00%,Aroma
Santiam,US,6.00%,Aroma
Select Spalt,Germany,4.80%,Aroma
Southern Cross,New Zealand,13.00%,Both
Spalter,Germany,4.50%,Aroma
Sterling,US,7.50%,Both
Sticklebract,New Zealand,13.50%,Both
Strisselspalt,France,4.00%,Aroma
Styrian Goldings,Slovenia,5.40%,Aroma
Sun,US,14.00%,Bittering
Super Alpha,New Zealand,13.00%,Bittering
Target,UK,11.00%,Bittering
Tettnang,Germany,4.50%,Aroma
Tradition,Germany,6.00%,Bittering
Ultra,US,3.00%,Aroma
Vanguard,US,5.50%,Aroma
Warrior,US,15.00%,Both
WhitbreadGolding Var (WGV),UK,6.00%,Aroma
Willamette,US,5.50%,Aroma
Zeus,US,14.00%,Bittering
